DateTime;Symbol;Level;Depth Ratio;Last Price;Total Bid Volume; Total Ask Volume;Level 1 Bid Price;Level 1 Bid Volume;Level 1 Ask Price;Level 1 Ask Volume;Level 2 Bid Price;Level 2 Bid Volume;Level 2 Ask Price;Level 2 Ask Volume;Level 3 Bid Price;Level 3 Bid Volume;Level 3 Ask Price;Level 3 Ask Volume;Level 4 Bid Price;Level 4 Bid Volume;Level 4 Ask Price;Level 4 Ask Volume;Level 5 Bid Price;Level 5 Bid Volume;Level 5 Ask Price;Level 5 Ask Volume;Level 6 Bid Price;Level 6 Bid Volume;Level 6 Ask Price;Level 6 Ask Volume;Level 7 Bid Price;Level 7 Bid Volume;Level 7 Ask Price;Level 7 Ask Volume;Level 8 Bid Price;Level 8 Bid Volume;Level 8 Ask Price;Level 8 Ask Volume;Level 9 Bid Price;Level 9 Bid Volume;Level 9 Ask Price;Level 9 Ask Volume;Level 10 Bid Price;Level 10 Bid Volume;Level 10 Ask Price;Level 10 Ask Volume
2025-08-20T06:55:12;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:13;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:14;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:15;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:16;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:17;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:18;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:19;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:20;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:21;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:22;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:23;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:24;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:25;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:26;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:27;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:28;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:29;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:30;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:31;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:32;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:33;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:34;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:35;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:36;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:37;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:38;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:39;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:40;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:41;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:42;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:43;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:44;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:45;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:46;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:47;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:48;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:49;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:50;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
2025-08-20T06:55:51;AKBNK;10;-0.481;65.85;25320558.299999997;42916878.550000004;65.8;5704267.8;65.85;4236723.149999999;65.75;916489.25;65.9;4516588.300000001;65.7;2557372.5;65.95;6591570.600000001;65.65;1860455.35;66;4325574;65.6;1976855.9999999998;66.05;4162140.75;65.55;4978981.35;66.1;3401109.4;65.5;3315479;66.15;7757542.800000001;65.45;1787897.6500000001;66.2;5853271.600000001;65.4;1978873.2000000002;66.25;1380583.75;65.35;243886.19999999998;66.3;691774.2
