DateTime;Symbol;Level;Depth Ratio;Last Price;Total Bid Volume; Total Ask Volume;Level 1 Bid Price;Level 1 Bid Volume;Level 1 Ask Price;Level 1 Ask Volume;Level 2 Bid Price;Level 2 Bid Volume;Level 2 Ask Price;Level 2 Ask Volume;Level 3 Bid Price;Level 3 Bid Volume;Level 3 Ask Price;Level 3 Ask Volume;Level 4 Bid Price;Level 4 Bid Volume;Level 4 Ask Price;Level 4 Ask Volume;Level 5 Bid Price;Level 5 Bid Volume;Level 5 Ask Price;Level 5 Ask Volume;Level 6 Bid Price;Level 6 Bid Volume;Level 6 Ask Price;Level 6 Ask Volume;Level 7 Bid Price;Level 7 Bid Volume;Level 7 Ask Price;Level 7 Ask Volume;Level 8 Bid Price;Level 8 Bid Volume;Level 8 Ask Price;Level 8 Ask Volume;Level 9 Bid Price;Level 9 Bid Volume;Level 9 Ask Price;Level 9 Ask Volume;Level 10 Bid Price;Level 10 Bid Volume;Level 10 Ask Price;Level 10 Ask Volume
2025-08-14T06:55:14;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:15;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:16;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:17;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:18;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:19;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:20;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:21;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:22;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:23;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:24;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:25;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:26;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:27;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:28;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:29;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:30;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:31;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:32;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:33;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:34;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:35;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:36;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:37;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:38;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:39;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:40;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:41;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:42;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:43;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:44;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:45;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:46;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:47;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:48;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:49;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:50;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:51;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:52;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
2025-08-14T06:55:53;AKBNK;10;-0.1;68.25;27909486.85;30972555.85;68.2;112802.8;68.25;814836.75;68.15;127849.40000000001;68.3;8456701.1;68.1;6126207.899999999;68.35;6801440.149999999;68.05;1512887.5999999999;68.4;1884351.6;68;5847592;68.45;240738.65000000002;67.95;1925159.4000000001;68.5;2300846.5;67.9;2834825.0000000005;68.55;2649937.35;67.85;249009.49999999997;68.6;3294995.1999999997;67.8;5337216;68.65;4332707.45;67.75;3835937.25;68.7;196001.1
